id,palette_id,family_id
1,1,2
2,1,11
3,1,18
4,1,24
5,2,2
6,2,3
7,2,4
8,2,24
9,2,34
10,3,8
11,3,9
12,3,10
13,3,14
14,3,17
15,3,19
16,3,20
17,3,21
18,3,23
19,3,24
20,3,30
21,4,1
22,4,5
23,4,6
24,4,7
25,4,8
26,4,10
27,4,14
28,4,15
29,4,16
30,4,17
31,4,21
32,4,22
33,4,23
34,4,27
35,4,28
36,4,29
37,4,30
38,4,31
39,4,33
40,5,11
41,5,18
42,6,11
43,6,13
44,6,18
45,6,19
46,6,20
47,6,21
48,6,23
49,6,25
50,6,30
51,6,34
52,7,5
53,7,10
54,7,21
55,7,24
56,7,29
57,7,30
58,7,31
59,8,11
60,8,12
61,8,13
62,8,21
63,9,11
64,9,12
65,9,13
66,9,25
67,10,25
68,11,12
69,11,13
70,11,25
71,11,26
72,11,30
73,12,11
74,12,12
75,12,13
76,12,17
77,12,23
78,12,25
79,12,28
80,12,30
81,13,6
82,13,7
83,13,8
84,13,9
85,13,10
86,13,14
87,13,15
88,13,17
89,13,19
90,13,21
91,13,27
92,13,28
93,13,30
94,13,33
95,14,8
96,14,9
97,14,14
98,14,27
99,15,2
100,15,6
101,15,10
102,15,24
103,16,1
104,16,2
105,16,3
106,16,4
107,16,5
108,16,6
109,16,7
110,16,8
111,16,9
112,16,10
113,16,11
114,16,12
115,16,13
116,16,14
117,16,15
118,16,16
119,16,17
120,16,18
121,16,19
122,16,20
123,16,21
124,16,22
125,16,23
126,16,24
127,16,25
128,16,26
129,16,27
130,16,28
131,16,29
132,16,30
133,16,31
134,16,32
135,16,33
136,16,34
137,16,35
138,17,6
139,17,7
140,17,8
141,17,12
142,17,13
143,17,20
144,17,21
145,17,23
146,17,25
147,17,26
148,17,30
149,18,1
150,18,6
151,18,10
152,18,17
153,18,18
154,18,19
155,18,21
156,18,23
157,18,28
158,18,30
159,18,32
160,19,1
161,19,2
162,19,3
163,19,4
164,19,5
165,19,6
166,19,7
167,19,8
168,19,9
169,19,10
170,19,11
171,19,12
172,19,13
173,19,14
174,19,15
175,19,16
176,19,17
177,19,18
178,19,19
179,19,20
180,19,21
181,19,22
182,19,23
183,19,24
184,19,25
185,19,26
186,19,27
187,19,28
188,19,29
189,19,30
190,19,31
191,19,32
192,19,33
193,19,34
194,19,35
195,20,1
196,20,2
197,20,3
198,20,4
199,20,5
200,20,6
201,20,7
202,20,8
203,20,9
204,20,10
205,20,11
206,20,12
207,20,13
208,20,14
209,20,15
210,20,16
211,20,17
212,20,18
213,20,19
214,20,20
215,20,21
216,20,22
217,20,23
218,20,24
219,20,25
220,20,26
221,20,27
222,20,28
223,20,29
224,20,30
225,20,31
226,20,32
227,20,33
228,20,34
229,20,35
230,21,1
231,21,2
232,21,3
233,21,4
234,21,5
235,21,6
236,21,7
237,21,8
238,21,9
239,21,10
240,21,11
241,21,12
242,21,13
243,21,14
244,21,15
245,21,16
246,21,17
247,21,18
248,21,19
249,21,20
250,21,21
251,21,22
252,21,23
253,21,24
254,21,25
255,21,26
256,21,27
257,21,28
258,21,29
259,21,30
260,21,31
261,21,32
262,21,33
263,21,34
264,21,35
265,22,1
266,22,2
267,22,3
268,22,4
269,22,5
270,22,6
271,22,7
272,22,8
273,22,9
274,22,10
275,22,11
276,22,12
277,22,13
278,22,14
279,22,15
280,22,16
281,22,17
282,22,18
283,22,19
284,22,20
285,22,21
286,22,22
287,22,23
288,22,24
289,22,25
290,22,26
291,22,27
292,22,28
293,22,29
294,22,30
295,22,31
296,22,32
297,22,33
298,22,34
299,22,35
300,23,11
301,23,13
302,23,15
303,23,18
304,23,20
305,23,21
306,23,23
307,23,30
308,23,34
309,23,35
310,24,1
311,24,5
312,24,6
313,24,7
314,24,8
315,24,10
316,24,15
317,24,17
318,24,19
319,24,20
320,24,21
321,24,22
322,24,23
323,24,27
324,24,28
325,24,29
326,24,31
327,24,32
328,24,33
329,25,34
330,26,11
331,26,13
332,26,18
333,27,1
334,27,2
335,27,3
336,27,4
337,27,5
338,27,6
339,27,7
340,27,8
341,27,9
342,27,10
343,27,11
344,27,12
345,27,13
346,27,14
347,27,15
348,27,16
349,27,17
350,27,18
351,27,19
352,27,20
353,27,21
354,27,22
355,27,23
356,27,24
357,27,25
358,27,26
359,27,27
360,27,28
361,27,29
362,27,30
363,27,31
364,27,32
365,27,33
366,27,34
367,27,35
368,28,3
369,28,4
370,28,16
371,28,29
372,28,34
373,28,35
374,29,1
375,29,2
376,29,8
377,29,24
378,29,34
379,30,2
380,30,9
381,30,10
382,30,17
383,30,19
384,30,20
385,30,21
386,30,28
387,31,2
388,31,6
389,31,9
390,31,10
391,31,14
392,31,17
393,31,21
394,32,24
395,33,2
396,33,24
397,34,2
398,34,13
399,34,18
400,34,24
401,34,31
402,35,11
403,35,18
404,36,5
405,36,27
406,36,31
407,37,1
408,37,2
409,37,3
410,37,4
411,37,5
412,37,6
413,37,7
414,37,8
415,37,9
416,37,10
417,37,11
418,37,12
419,37,13
420,37,14
421,37,15
422,37,16
423,37,17
424,37,18
425,37,19
426,37,20
427,37,21
428,37,22
429,37,23
430,37,24
431,37,25
432,37,26
433,37,27
434,37,28
435,37,29
436,37,30
437,37,31
438,37,32
439,37,33
440,37,34
441,37,35
442,38,2
443,38,5
444,38,6
445,38,7
446,38,8
447,38,9
