id,bkg_hexa,bkg_rgb,bkg_red,bkg_green,bkg_blue,tx1_hexa,tx1_rgb,tx1_red,tx1_green,tx1_blue,tx2_hexa,tx2_rgb,tx2_red,tx2_green,tx2_blue,ico_hexa,ico_rgb,ico_red,ico_green,ico_blue
1,96E072,"rgb(150, 224, 114)",150,224,114,134611,"rgb(19, 70, 17)",19,70,17,3E8914,"rgb(62, 137, 20)",62,137,20,3DA35D,"rgb(61, 163, 93)",61,163,93
2,007EA7,"rgb(0, 126, 167)",0,126,167,CCDBDC,"rgb(204, 219, 220)",204,219,220,80CED7,"rgb(128, 206, 215)",128,206,215,9AD1D4,"rgb(154, 209, 212)",154,209,212
3,DAB785,"rgb(218, 183, 133)",218,183,133,031D44,"rgb(3, 29, 68)",3,29,68,04395E,"rgb(4, 57, 94)",4,57,94,70A288,"rgb(112, 162, 136)",112,162,136
4,042A2B,"rgb(4, 42, 43)",4,42,43,CDEDF6,"rgb(205, 237, 246)",205,237,246,EF7B45,"rgb(239, 123, 69)",239,123,69,5EB1BF,"rgb(94, 177, 191)",94,177,191
5,CDEDF6,"rgb(205, 237, 246)",205,237,246,042A2B,"rgb(4, 42, 43)",4,42,43,EF7B45,"rgb(239, 123, 69)",239,123,69,5EB1BF,"rgb(94, 177, 191)",94,177,191
6,FFD670,"rgb(255, 214, 112)",255,214,112,FF70A6,"rgb(255, 112, 166)",255,112,166,FF9770,"rgb(255, 151, 112)",255,151,112,70D6FF,"rgb(112, 214, 255)",112,214,255
7,84A59D,"rgb(132, 165, 157)",132,165,157,F7EDE2,"rgb(247, 237, 226)",247,237,226,F6BD60,"rgb(246, 189, 96)",246,189,96,F5CAC3,"rgb(245, 202, 195)",245,202,195
8,F7EDE2,"rgb(247, 237, 226)",247,237,226,84A59D,"rgb(132, 165, 157)",132,165,157,F6BD60,"rgb(246, 189, 96)",246,189,96,F5CAC3,"rgb(245, 202, 195)",245,202,195
9,EDC4B3,"rgb(237, 196, 179)",237,196,179,D69F7E,"rgb(214, 159, 126)",214,159,126,DEAB90,"rgb(222, 171, 144)",222,171,144,E6B8A2,"rgb(230, 184, 162)",230,184,162
10,F9B9B7,"rgb(249, 185, 183)",249,185,183,61A0AF,"rgb(97, 160, 175)",97,160,175,F06C9B,"rgb(240, 108, 155)",240,108,155,96C9DC,"rgb(150, 201, 220)",150,201,220
11,FFB5A7,"rgb(255, 181, 167)",255,181,167,F8EDEB,"rgb(248, 237, 235)",248,237,235,FCD5CE,"rgb(252, 213, 206)",252,213,206,F9DCC4,"rgb(249, 220, 196)",249,220,196
12,F8EDEB,"rgb(248, 237, 235)",248,237,235,FFB5A7,"rgb(255, 181, 167)",255,181,167,FCD5CE,"rgb(252, 213, 206)",252,213,206,F9DCC4,"rgb(249, 220, 196)",249,220,196
13,4C5760,"rgb(76, 87, 96)",76,87,96,D7CEB2,"rgb(215, 206, 178)",215,206,178,A59E8C,"rgb(165, 158, 140)",165,158,140,93A8AC,"rgb(147, 168, 172)",147,168,172
14,D7CEB2,"rgb(215, 206, 178)",215,206,178,4C5760,"rgb(76, 87, 96)",76,87,96,A59E8C,"rgb(165, 158, 140)",165,158,140,93A8AC,"rgb(147, 168, 172)",147,168,172
15,A3A380,"rgb(163, 163, 128)",163,163,128,EFEBCE,"rgb(239, 235, 206)",239,235,206,D8A48F,"rgb(216, 164, 143)",216,164,143,D6CE93,"rgb(214, 206, 147)",214,206,147
16,EFEBCE,"rgb(239, 235, 206)",239,235,206,A3A380,"rgb(163, 163, 128)",163,163,128,D8A48F,"rgb(216, 164, 143)",216,164,143,D6CE93,"rgb(214, 206, 147)",214,206,147
17,A53860,"rgb(165, 56, 96)",165,56,96,F9DBBD,"rgb(249, 219, 189)",249,219,189,DA627D,"rgb(218, 98, 125)",218,98,125,FFA5AB,"rgb(255, 165, 171)",255,165,171
18,F9DBBD,"rgb(249, 219, 189)",249,219,189,A53860,"rgb(165, 56, 96)",165,56,96,DA627D,"rgb(218, 98, 125)",218,98,125,FFA5AB,"rgb(255, 165, 171)",255,165,171
19,227C9D,"rgb(34, 124, 157)",34,124,157,FEF9EF,"rgb(254, 249, 239)",254,249,239,17C3B2,"rgb(23, 195, 178)",23,195,178,FFCB77,"rgb(255, 203, 119)",255,203,119
20,FEF9EF,"rgb(254, 249, 239)",254,249,239,227C9D,"rgb(34, 124, 157)",34,124,157,17C3B2,"rgb(23, 195, 178)",23,195,178,FFCB77,"rgb(255, 203, 119)",255,203,119
21,0FA3B1,"rgb(15, 163, 177)",15,163,177,D9E5D6,"rgb(217, 229, 214)",217,229,214,F7A072,"rgb(247, 160, 114)",247,160,114,EDDEA4,"rgb(237, 222, 164)",237,222,164
22,27187E,"rgb(39, 24, 126)",39,24,126,F1F2F6,"rgb(241, 242, 246)",241,242,246,758BFD,"rgb(117, 139, 253)",117,139,253,AEB8FE,"rgb(174, 184, 254)",174,184,254
23,F1F2F6,"rgb(241, 242, 246)",241,242,246,27187E,"rgb(39, 24, 126)",39,24,126,758BFD,"rgb(117, 139, 253)",117,139,253,AEB8FE,"rgb(174, 184, 254)",174,184,254
24,233D4D,"rgb(35, 61, 77)",35,61,77,FCCA46,"rgb(252, 202, 70)",252,202,70,FE7F2D,"rgb(254, 127, 45)",254,127,45,A1C181,"rgb(161, 193, 129)",161,193,129
25,006BA6,"rgb(0, 107, 166)",0,107,166,FFBC42,"rgb(255, 188, 66)",255,188,66,D81159,"rgb(216, 17, 89)",216,17,89,0496FF,"rgb(4, 150, 255)",4,150,255
26,FFBC42,"rgb(255, 188, 66)",255,188,66,006BA6,"rgb(0, 107, 166)",0,107,166,D81159,"rgb(216, 17, 89)",216,17,89,0496FF,"rgb(4, 150, 255)",4,150,255
27,003554,"rgb(0, 53, 84)",0,53,84,00A6FB,"rgb(0, 166, 251)",0,166,251,006494,"rgb(0, 100, 148)",0,100,148,0582CA,"rgb(5, 130, 202)",5,130,202
28,00A6FB,"rgb(0, 166, 251)",0,166,251,003554,"rgb(0, 53, 84)",0,53,84,006494,"rgb(0, 100, 148)",0,100,148,0582CA,"rgb(5, 130, 202)",5,130,202
29,A1CCA5,"rgb(161, 204, 165)",161,204,165,415D43,"rgb(65, 93, 67)",65,93,67,000000,"rgb(0, 0, 0)",0,0,0,8FB996,"rgb(143, 185, 150)",143,185,150
30,F3DFA2,"rgb(243, 223, 162)",243,223,162,231F20,"rgb(35, 31, 32)",35,31,32,BB4430,"rgb(187, 68, 48)",187,68,48,7EBDC2,"rgb(126, 189, 194)",126,189,194
31,A68A64,"rgb(166, 138, 100)",166,138,100,582F0E,"rgb(88, 47, 14)",88,47,14,7F4F24,"rgb(127, 79, 36)",127,79,36,000000,"rgb(0, 0, 0)",0,0,0
32,74C69D,"rgb(116, 198, 157)",116,198,157,D8F3DC,"rgb(216, 243, 220)",216,243,220,95D5B2,"rgb(149, 213, 178)",149,213,178,B7E4C7,"rgb(183, 228, 199)",183,228,199
33,D8F3DC,"rgb(216, 243, 220)",216,243,220,74C69D,"rgb(116, 198, 157)",116,198,157,95D5B2,"rgb(149, 213, 178)",149,213,178,B7E4C7,"rgb(183, 228, 199)",183,228,199
34,5B8E7D,"rgb(91, 142, 125)",91,142,125,F4E285,"rgb(244, 226, 133)",244,226,133,8CB369,"rgb(140, 179, 105)",140,179,105,F4A259,"rgb(244, 162, 89)",244,162,89
35,F4E285,"rgb(244, 226, 133)",244,226,133,5B8E7D,"rgb(91, 142, 125)",91,142,125,8CB369,"rgb(140, 179, 105)",140,179,105,F4A259,"rgb(244, 162, 89)",244,162,89
36,3A5A40,"rgb(58, 90, 64)",58,90,64,DAD7CD,"rgb(218, 215, 205)",218,215,205,000000,"rgb(0, 0, 0)",0,0,0,A3B18A,"rgb(163, 177, 138)",163,177,138
37,DAD7CD,"rgb(218, 215, 205)",218,215,205,3A5A40,"rgb(58, 90, 64)",58,90,64,000000,"rgb(0, 0, 0)",0,0,0,A3B18A,"rgb(163, 177, 138)",163,177,138
38,A98467,"rgb(169, 132, 103)",169,132,103,F0EAD2,"rgb(240, 234, 210)",240,234,210,ADC178,"rgb(173, 193, 120)",173,193,120,DDE5B6,"rgb(221, 229, 182)",221,229,182
39,585123,"rgb(88, 81, 35)",88,81,35,EEC170,"rgb(238, 193, 112)",238,193,112,F58549,"rgb(245, 133, 73)",245,133,73,F2A65A,"rgb(242, 166, 90)",242,166,90
40,EEC170,"rgb(238, 193, 112)",238,193,112,585123,"rgb(88, 81, 35)",88,81,35,F58549,"rgb(245, 133, 73)",245,133,73,F2A65A,"rgb(242, 166, 90)",242,166,90
41,2B2D42,"rgb(43, 45, 66)",43,45,66,EDF2F4,"rgb(237, 242, 244)",237,242,244,EF233C,"rgb(239, 35, 60)",239,35,60,8D99AE,"rgb(141, 153, 174)",141,153,174
42,EDF2F4,"rgb(237, 242, 244)",237,242,244,2B2D42,"rgb(43, 45, 66)",43,45,66,EF233C,"rgb(239, 35, 60)",239,35,60,8D99AE,"rgb(141, 153, 174)",141,153,174
43,22577A,"rgb(34, 87, 122)",34,87,122,80ED99,"rgb(128, 237, 153)",128,237,153,38A3A5,"rgb(56, 163, 165)",56,163,165,57CC99,"rgb(87, 204, 153)",87,204,153
44,80ED99,"rgb(128, 237, 153)",128,237,153,22577A,"rgb(34, 87, 122)",34,87,122,38A3A5,"rgb(56, 163, 165)",56,163,165,57CC99,"rgb(87, 204, 153)",87,204,153
45,ABFF4F,"rgb(171, 255, 79)",171,255,79,F21B3F,"rgb(242, 27, 63)",242,27,63,29BF12,"rgb(41, 191, 18)",41,191,18,08BDBD,"rgb(8, 189, 189)",8,189,189
46,FBC3BC,"rgb(251, 195, 188)",251,195,188,EF6351,"rgb(239, 99, 81)",239,99,81,F38375,"rgb(243, 131, 117)",243,131,117,F7A399,"rgb(247, 163, 153)",247,163,153
47,E53D00,"rgb(229, 61, 0)",229,61,0,FCFFF7,"rgb(252, 255, 247)",252,255,247,21A0A0,"rgb(33, 160, 160)",33,160,160,FFE900,"rgb(255, 233, 0)",255,233,0
48,FCFFF7,"rgb(252, 255, 247)",252,255,247,E53D00,"rgb(229, 61, 0)",229,61,0,21A0A0,"rgb(33, 160, 160)",33,160,160,FFE900,"rgb(255, 233, 0)",255,233,0
