group   key   english   french
auth   failed   These credentials do not match our records.   Ces identifiants ne correspondent pas à nos enregistrements.
auth   password   The provided password is incorrect.   Le mot de passe fourni est incorrect.
auth   throttle   Too many login attempts. Please try again in :seconds seconds.   Trop de tentatives de connexion. Veuillez réessayer dans :seconds secondes.

validation   accepted   The :attribute field must be accepted.   Le champ :attribute doit être accepté.
validation   accepted_if   The :attribute field must be accepted when :other is :value.   Le champ :attribute doit être accepté lorsque :other est :value.
validation   active_url   The :attribute field must be a valid URL.   Le champ :attribute doit être une URL valide.
validation   after   The :attribute field must be a date after :date.   Le champ :attribute doit être une date postérieure à :date.
validation   after_or_equal   The :attribute field must be a date after or equal to :date.   Le champ :attribute doit être une date postérieure ou égale à :date.
validation   alpha   The :attribute field must only contain letters.   Le champ :attribute ne peut contenir que des lettres.
validation   alpha_dash   The :attribute field must only contain letters, numbers, dashes, and underscores.   Le champ :attribute ne peut contenir que des lettres, des chiffres, des tirets et des underscores.
validation   alpha_num   The :attribute field must only contain letters and numbers.   Le champ :attribute ne peut contenir que des lettres et des chiffres.
validation   array   The :attribute field must be an array.   Le champ :attribute doit être un tableau.
validation   ascii   The :attribute field must only contain single-byte alphanumeric characters and symbols.   Le champ :attribute ne peut contenir que des caractères alphanumériques et des symboles d'un octet.
validation   before   The :attribute field must be a date before :date.   Le champ :attribute doit être une date antérieure à :date.
validation   before_or_equal   The :attribute field must be a date before or equal to :date.   Le champ :attribute doit être une date antérieure ou égale à :date.
validation   between   The :attribute field must be between :min and :max.   Le champ :attribute doit être compris entre :min et :max.
validation   boolean   The :attribute field must be true or false.   Le champ :attribute doit être vrai ou faux.
validation   can   The :attribute field contains an unauthorized value.   Le champ :attribute contient une valeur non autorisée.
validation   confirmed   The :attribute field confirmation does not match.   La confirmation du champ :attribute ne correspond pas.
validation   current_password   The password is incorrect.   Le mot de passe est incorrect.
validation   date   The :attribute field must be a valid date.   Le champ :attribute doit être une date valide.
validation   date_equals   The :attribute field must be a date equal to :date.   Le champ :attribute doit être une date égale à :date.
validation   date_format   The :attribute field must match the format :format.   Le champ :attribute doit correspondre au format :format.
validation   decimal   The :attribute field must have :decimal decimal places.   Le champ :attribute doit avoir :decimal décimales.
validation   declined   The :attribute field must be declined.   Le champ :attribute doit être refusé.
validation   declined_if   The :attribute field must be declined when :other is :value.   Le champ :attribute doit être refusé lorsque :other est :value.
validation   different   The :attribute field and :other must be different.   Les champs :attribute et :other doivent être différents.
validation   digits   The :attribute field must be :digits digits.   Le champ :attribute doit avoir :digits chiffres.
validation   digits_between   The :attribute field must be between :min and :max digits.   Le champ :attribute doit contenir entre :min et :max chiffres.
validation   dimensions   The :attribute field has invalid image dimensions.   Le champ :attribute a des dimensions d'image invalides.
validation   distinct   The :attribute field has a duplicate value.   Le champ :attribute a une valeur en double.
validation   doesnt_end_with   The :attribute field must not end with one of the following: :values.   Le champ :attribute ne doit pas se terminer par l'un des éléments suivants :values.
validation   doesnt_start_with   The :attribute field must not start with one of the following: :values.   Le champ :attribute ne doit pas commencer par l'un des éléments suivants :values.
validation   email   The :attribute field must be a valid email address.   Le champ :attribute doit être une adresse e-mail valide.
validation   ends_with   The :attribute field must end with one of the following: :values.   Le champ :attribute doit se terminer par l'un des éléments suivants :values.
validation   enum   The selected :attribute is invalid.   L'élément sélectionné :attribute n'est pas valide.
validation   exists   The selected :attribute is invalid.   L'élément sélectionné :attribute n'est pas valide.
validation   file   The :attribute field must be a file.   Le champ :attribute doit être un fichier.
validation   filled   The :attribute field must have a value.   Le champ :attribute doit avoir une valeur.
validation   gt   The :attribute field must be greater than :value.   Le champ :attribute doit être supérieur à :value.
validation   gte   The :attribute field must be greater than or equal to :value.   Le champ :attribute doit être supérieur ou égal à :value.
validation   image   The :attribute field must be an image.   Le champ :attribute doit être une image.
validation   in   The selected :attribute is invalid.   L'élément sélectionné :attribute n'est pas valide.
validation   in_array   The :attribute field must exist in :other.   Le champ :attribute doit exister dans :other.
validation   integer   The :attribute field must be an integer.   Le champ :attribute doit être un entier.
validation   ip   The :attribute field must be a valid IP address.   Le champ :attribute doit être une adresse IP valide.
validation   ipv4   The :attribute field must be a valid IPv4 address.   Le champ :attribute doit être une adresse IPv4 valide.
validation   ipv6   The :attribute field must be a valid IPv6 address.   Le champ :attribute doit être une adresse IPv6 valide.
validation   json   The :attribute field must be a valid JSON string.   Le champ :attribute doit être une chaîne JSON valide.
validation   lowercase   The :attribute field must be lowercase.   Le champ :attribute doit être en minuscules.
validation   lt   The :attribute field must be less than :value.   Le champ :attribute doit être inférieur à :value.
validation   lte   The :attribute field must be less than or equal to :value.   Le champ :attribute doit être inférieur ou égal à :value.
validation   mac_address   The :attribute field must be a valid MAC address.   Le champ :attribute doit être une adresse MAC valide.
validation   max   The :attribute field must not be greater than :max.   Le champ :attribute ne doit pas être supérieur à :max.
validation   max_digits   The :attribute field must not have more than :max digits.   Le champ :attribute ne doit pas contenir plus de :max chiffres.
